timestamp,component,scenario,latency_p95_ms,throughput_rps,error_rate_pct,cpu_percent,memory_percent
2026-09-16T11:24:53.918984,checkout,degraded,125.0,0.0625,100.0,0.4423,8.1973
2026-09-16T11:24:53.945634,product-catalog,normal,47.7,4.0667,0.0,2.0599,8.4727
2026-09-16T11:24:53.971953,cart,normal,9.8,0.9333,0.0,3.2291,48.9795
2026-09-16T11:25:04.000281,checkout,degraded,125.0,0.0625,100.0,0.4442,8.0625
2026-09-16T11:25:04.019777,product-catalog,normal,47.7,4.0667,0.0,2.0678,8.1875
2026-09-16T11:25:04.036065,cart,normal,9.8,0.9333,0.0,3.2271,48.9478
2026-09-16T11:25:14.056048,checkout,degraded,125.0,0.0625,100.0,0.4451,8.1211
2026-09-16T11:25:14.074790,product-catalog,normal,47.7,4.0667,0.0,2.076,8.9062
2026-09-16T11:25:14.095682,cart,normal,9.8,0.9333,0.0,3.2251,48.9478
2026-09-16T11:25:24.112928,checkout,degraded,130.0,0.0583,100.0,0.4461,7.8086
2026-09-16T11:25:24.170750,product-catalog,normal,47.39,3.9834,0.0,2.0819,8.3242
2026-09-16T11:25:24.193287,cart,normal,9.73,0.95,0.0,3.223,49.104
2026-09-16T11:25:34.215956,checkout,degraded,130.0,0.0583,100.0,0.4478,7.6855
2026-09-16T11:25:34.235504,product-catalog,normal,47.39,3.9834,0.0,2.0927,9.0273
2026-09-16T11:25:34.271063,cart,normal,9.73,0.95,0.0,3.2214,49.2603
2026-09-16T11:25:44.295781,checkout,degraded,130.0,0.0583,100.0,0.4505,7.9668
2026-09-16T11:25:44.368964,product-catalog,normal,47.39,3.9834,0.0,2.1052,8.4453
2026-09-16T11:25:44.430345,cart,normal,9.73,0.95,0.0,3.2197,49.1089
2026-09-16T11:25:54.486608,checkout,degraded,130.0,0.0583,100.0,0.4505,7.9668
2026-09-16T11:25:54.521422,product-catalog,normal,47.39,3.9834,0.0,2.1052,8.4453
2026-09-16T11:25:54.568636,cart,normal,9.73,0.95,0.0,3.2197,49.1089
2026-09-16T11:26:04.610981,checkout,degraded,130.0,0.0583,100.0,0.4522,7.8047
2026-09-16T11:26:04.634352,product-catalog,normal,47.39,3.9834,0.0,2.1211,8.1211
2026-09-16T11:26:04.652455,cart,normal,9.73,0.95,0.0,3.2162,49.2651
2026-09-16T11:26:14.672533,checkout,degraded,130.0,0.0583,100.0,0.4522,7.8047
2026-09-16T11:26:14.690553,product-catalog,normal,47.39,3.9834,0.0,2.1211,8.1211
2026-09-16T11:26:14.712513,cart,normal,9.73,0.95,0.0,3.2162,49.2651
2026-09-16T11:26:24.733637,checkout,degraded,96.0,0.0333,100.0,0.4553,7.832
2026-09-16T11:26:24.804881,product-catalog,normal,48.77,4.1667,0.0,2.1369,8.2773
2026-09-16T11:26:24.891371,cart,normal,7.93,0.95,0.0,3.2129,49.4482
2026-09-16T11:26:34.948154,checkout,degraded,96.0,0.0333,100.0,0.4576,7.7793
2026-09-16T11:26:35.002688,product-catalog,normal,48.77,4.1667,0.0,2.1466,8.4414
2026-09-16T11:26:35.059800,cart,normal,7.93,0.95,0.0,3.211,48.9624
2026-09-16T11:26:45.099675,checkout,degraded,96.0,0.0333,100.0,0.4576,7.7793
2026-09-16T11:26:45.122685,product-catalog,normal,48.77,4.1667,0.0,2.1466,8.4414
2026-09-16T11:26:45.143855,cart,normal,7.93,0.95,0.0,3.211,48.9624
2026-09-16T11:26:55.166188,checkout,degraded,96.0,0.0333,100.0,0.4601,7.5039
2026-09-16T11:26:55.194549,product-catalog,normal,48.77,4.1667,0.0,2.1675,8.6816
2026-09-16T11:26:55.228992,cart,normal,7.93,0.95,0.0,3.2078,48.999
2026-09-16T11:27:05.262517,checkout,degraded,96.0,0.0333,100.0,0.4614,7.6582
2026-09-16T11:27:05.280952,product-catalog,normal,48.77,4.1667,0.0,2.1715,8.832
2026-09-16T11:27:05.301105,cart,normal,7.93,0.95,0.0,3.2058,48.999
2026-09-16T11:27:15.334261,checkout,degraded,96.0,0.0333,100.0,0.4623,7.7988
2026-09-16T11:27:15.352718,product-catalog,normal,48.77,4.1667,0.0,2.172,8.0527
2026-09-16T11:27:15.366333,cart,normal,7.93,0.95,0.0,3.2035,48.9722
2026-09-16T11:27:25.386380,checkout,degraded,96.25,0.0291,99.9981,0.4623,7.7988
2026-09-16T11:27:25.410669,product-catalog,normal,48.79,3.7649,0.0,2.172,8.0527
2026-09-16T11:27:25.436918,cart,normal,8.75,0.8247,0.0,3.2035,48.9722
2026-09-16T11:27:35.460105,checkout,degraded,96.25,0.028,99.9992,0.4647,7.9863
2026-09-16T11:27:35.478063,product-catalog,normal,48.79,3.6203,0.0,2.1742,8.1309
2026-09-16T11:27:35.500792,cart,normal,8.75,0.793,0.0,3.1988,48.9331
2026-09-16T11:27:45.521605,checkout,degraded,96.25,0.0269,99.9983,0.4655,7.9531
2026-09-16T11:27:45.537808,product-catalog,normal,48.79,3.4757,0.0,2.1754,8.2109
2026-09-16T11:27:45.553250,cart,normal,8.75,0.7614,0.0,3.1965,49.1138
